BODY_DVH Dose (Gy),BODY_DVH Value (% of 7978.300 cc),BRAIN_DVH Dose (Gy),BRAIN_DVH Value (% of 1114.880 cc),BRSTEM_DVH Dose (Gy),BRSTEM_DVH Value (% of 31.500 cc),CTV_DVH Dose (Gy),CTV_DVH Value (% of 69.981 cc),GTV_DVH Dose (Gy),GTV_DVH Value (% of 8.438 cc),LensLeft_DVH Dose (Gy),LensLeft_DVH Value (% of 0.145 cc),LensRight_DVH Dose (Gy),LensRight_DVH Value (% of 0.141 cc),OpticChiasm_DVH Dose (Gy),OpticChiasm_DVH Value (% of 1.133 cc),OpticNerveLt_DVH Dose (Gy),OpticNerveLt_DVH Value (% of 1.727 cc),OpticNerveRt_DVH Dose (Gy),OpticNerveRt_DVH Value (% of 2.262 cc),OrbitLeft_DVH Dose (Gy),OrbitLeft_DVH Value (% of 8.504 cc),OrbitRight_DVH Dose (Gy),OrbitRight_DVH Value (% of 8.766 cc),PTV1_DVH Dose (Gy),PTV1_DVH Value (% of 126.957 cc),optBRAIN_DVH Dose (Gy),optBRAIN_DVH Value (% of 782.102 cc),optOptic_DVH Dose (Gy),optOptic_DVH Value (% of 22.305 cc)
0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100
0.1,45.61970848,0.1,100,0.1,100,0.1,100,0.1,100,0.1,100,0.1,100,0.1,100,0.1,100,0.1,100,0.1,100,0.1,100,0.1,100,0.1,100,0.1,100
0.3,39.31673957,0.3,100,0.3,100,0.3,100,0.3,100,0.3,100,0.3,100,0.3,100,0.3,100,0.3,100,0.3,100,0.3,100,0.3,100,0.3,100,0.3,100
0.5,35.65041343,0.5,100,0.5,100,0.5,100,0.5,100,0.5,100,0.5,100,0.5,100,0.5,100,0.5,100,0.5,100,0.5,100,0.5,100,0.5,100,0.5,100
0.7,32.19521071,0.7,99.5429098,0.7,100,0.7,100,0.7,100,0.7,100,0.7,75,0.7,100,0.7,100,0.7,100,0.7,100,0.7,90.520079,0.7,100,0.7,99.34828417,0.7,96.27087919
0.9,29.2831117,0.9,96.28323028,0.9,93.84643644,0.9,100,0.9,100,0.9,100,0.9,2.272727273,0.9,100,0.9,100,0.9,100,0.9,100,0.9,62.21198157,0.9,100,0.9,94.70065725,0.9,85.13531011
1.1,26.90584196,1.1,92.13240604,1.1,89.09808964,1.1,100,1.1,100,1.1,100,1.1,0,1.1,100,1.1,100,1.1,95.65217391,1.1,100,1.1,36.53719552,1.1,100,1.1,88.78244279,1.1,74.6342095
1.3,25.05716881,1.3,88.23057431,1.3,84.86407054,1.3,100,1.3,100,1.3,100,1.3,0,1.3,100,1.3,100,1.3,78.00511509,1.3,100,1.3,21.62606978,1.3,100,1.3,83.21924001,1.3,67.12417454
1.5,23.62006812,1.5,84.95018856,1.5,81.94342395,1.5,100,1.5,100,1.5,100,1.5,0,1.5,100,1.5,100,1.5,57.54475703,1.5,100,1.5,14.74654378,1.5,100,1.5,78.54209029,1.5,62.41098019
1.7,22.50821354,1.7,82.21437686,1.7,79.25238795,1.7,100,1.7,100,1.7,100,1.7,0,1.7,100,1.7,100,1.7,41.94373402,1.7,100,1.7,11.05990783,1.7,100,1.7,74.64139023,1.7,59.4069662
